Order_ID,Order_Date,Customer_ID,Customer_Email,Product_ID,Product_Name,Category,Region,Sales_Channel,Sales_Representative,Quantity,Unit_Price,Unit_Cost,Discount_Rate,Payment_Method,Order_Status
ORD-10008,2025-11-22,C1032,client42@example.com,P1010,Headset,Electronics,East,Store,Elena Stan,3,195.0,105.0,0.15,Bank Transfer,Cancelled
ORD-10015,2025-11-24,C1020,client96@example.com,P1005,24-inch Monitor,Electronics,North,Marketplace,Ioana Pavel,9,720.0,510.0,0.15,Card,Completed
ORD-10033,2025-11-15,C1069,client55@example.com,P1008,Standing Desk,Furniture,West,Store,Maria Ionescu,10,1450.0,1030.0,0,Cash,Completed
ORD-10044,2025-11-25,C1108,client138@example.com,P1006,27-inch Monitor,Electronics,South,Online,Andrei Pop,9,1090.0,790.0,0.1,Cash,Cancelled
ORD-10048,2025-11-16,C1093,client77@example.com,P1006,27-inch Monitor,Electronics,West,Store,Mihai Radu,6,1090.0,790.0,0.2,Cash,Completed
ORD-10053,2025-11-09,C1114,client162@example.com,P1008,Standing Desk,Furniture,West,Online,Mihai Radu,2,1450.0,1030.0,0.1,Online Wallet,Completed
ORD-10056,2025-11-10,C1107,client141@example.com,P1008,Standing Desk,Furniture,East,Online,Mihai Radu,12,1450.0,1030.0,0.15,Online Wallet,Completed
ORD-10063,2025-11-15,C1076,client145@example.com,P1003,Mechanical Keyboard,Accessories,Bucharest,Online,Mihai Radu,9,265.0,155.0,0,Bank Transfer,Completed
ORD-10086,2025-11-17,C1011,client41@example.com,P1004,USB-C Hub,Accessories,North,Online,Ioana Pavel,4,175.0,98.0,0.05,Card,Cancelled
ORD-10090,2025-11-01,C1057,client32@example.com,P1005,24-inch Monitor,Electronics,East,Marketplace,Elena Stan,12,720.0,510.0,0.15,Online Wallet,Completed
ORD-10107,2025-11-17,C1005,client159@example.com,P1006,27-inch Monitor,Electronics,Bucharest,Online,Elena Stan,12,1090.0,790.0,0.1,Bank Transfer,Returned
ORD-10115,2025-11-07,C1025,client159@example.com,P1004,USB-C Hub,Accessories,South,Marketplace,Maria Ionescu,6,175.0,98.0,0,Card,Cancelled
ORD-10131,2025-11-26,C1109,client103@example.com,P1008,Standing Desk,Furniture,East,Marketplace,Andrei Pop,1,1450.0,1030.0,0,Online Wallet,Completed
ORD-10133,2025-11-02,C1065,client155@example.com,P1007,Office Chair,Furniture,East,Online,Andrei Pop,9,840.0,590.0,0.05,Bank Transfer,Completed
ORD-10173,2025-11-29,C1005,client74@example.com,P1002,Wireless Mouse,Accessories,East,Marketplace,Maria Ionescu,6,85.0,44.0,0,Online Wallet,Completed
ORD-10174,2025-11-12,C1033,client56@example.com,P1008,Standing Desk,Furniture,North,Marketplace,Ioana Pavel,1,1450.0,1030.0,0,Online Wallet,Completed
ORD-10185,2025-11-05,C1042,client27@example.com,P1007,Office Chair,Furniture,Bucharest,Store,Elena Stan,3,840.0,590.0,0.15,Cash,Completed
ORD-10186,2025-11-05,C1089,client114@example.com,P1008,Standing Desk,Furniture,South,Store,Andrei Pop,12,1450.0,1030.0,0.1,Cash,Completed
ORD-10204,2025-11-07,C1041,client89@example.com,P1006,27-inch Monitor,Electronics,East,Online,Elena Stan,3,1090.0,790.0,0.05,Card,Cancelled
ORD-10206,2025-11-12,C1105,client84@example.com,P1007,Office Chair,Furniture,West,Marketplace,Elena Stan,7,840.0,590.0,0,Bank Transfer,Completed
ORD-10216,2025-11-02,C1101,client149@example.com,P1001,Laptop Stand,Accessories,West,Online,Andrei Pop,8,95.0,52.0,0.05,Online Wallet,Cancelled
ORD-10249,2025-11-03,C1039,client37@example.com,P1010,Headset,Electronics,West,Online,Mihai Radu,11,195.0,105.0,0.05,Cash,Completed
ORD-10251,2025-11-26,C1041,client179@example.com,P1006,27-inch Monitor,Electronics,East,Store,Maria Ionescu,11,1090.0,790.0,0.1,Cash,Returned
ORD-10254,2025-11-28,C1012,client138@example.com,P1006,27-inch Monitor,Electronics,North,Online,Elena Stan,2,1090.0,790.0,0.1,Online Wallet,Completed
ORD-10255,2025-11-05,C1103,client151@example.com,P1010,Headset,Electronics,West,Online,Mihai Radu,1,195.0,105.0,0,Bank Transfer,Completed
ORD-10276,2025-11-13,C1010,client22@example.com,P1002,Wireless Mouse,Accessories,South,Online,Mihai Radu,5,85.0,44.0,0,Bank Transfer,Cancelled
