Order_ID,Order_Date,Customer_ID,Customer_Email,Product_ID,Product_Name,Category,Region,Sales_Channel,Sales_Representative,Quantity,Unit_Price,Unit_Cost,Discount_Rate,Payment_Method,Order_Status
ORD-10016,2025-06-15,C1119,client93@example.com,P1010,Headset,Electronics,South,Online,Andrei Pop,8,195.0,105.0,0,Bank Transfer,Completed
ORD-10020,2025-06-23,C1030,client151@example.com,P1002,Wireless Mouse,Accessories,North,Online,Andrei Pop,1,85.0,44.0,0.15,Card,Returned
ORD-10024,2025-06-23,C1025,client138@example.com,P1007,Office Chair,Furniture,East,Online,Mihai Radu,2,840.0,590.0,0,Bank Transfer,Completed
ORD-10028,2025-06-01,C1095,client139@example.com,P1004,USB-C Hub,Accessories,Bucharest,Marketplace,Elena Stan,4,175.0,98.0,0,Card,Returned
ORD-10035,2025-06-03,C1034,client30@example.com,P1009,Webcam,Electronics,Bucharest,Marketplace,Ioana Pavel,11,230.0,132.0,0,Bank Transfer,Completed
ORD-10061,2025-06-30,C1069,client140@example.com,P1001,Laptop Stand,Accessories,West,Online,Mihai Radu,5,95.0,52.0,0.1,Bank Transfer,Completed
ORD-10068,2025-06-09,C1119,client80@example.com,P1003,Mechanical Keyboard,Accessories,West,Marketplace,Mihai Radu,2,265.0,155.0,0.15,Online Wallet,Completed
ORD-10080,2025-06-01,C1039,client4@example.com,P1004,USB-C Hub,Accessories,West,Online,Elena Stan,4,175.0,98.0,0.05,Card,Completed
ORD-10094,2025-06-28,C1086,client27@example.com,P1008,Standing Desk,Furniture,North,Store,Mihai Radu,7,1450.0,1030.0,0.05,Online Wallet,Completed
ORD-10109,2025-06-16,C1048,client111@example.com,P1001,Laptop Stand,Accessories,North,Online,Ioana Pavel,1,95.0,52.0,0.05,Online Wallet,Completed
ORD-10113,2025-06-04,C1014,client61@example.com,P1008,Standing Desk,Furniture,East,Marketplace,Elena Stan,4,1450.0,1030.0,0.1,Cash,Completed
ORD-10116,2025-06-08,C1047,client34@example.com,P1001,Laptop Stand,Accessories,Bucharest,Store,Elena Stan,8,95.0,52.0,0,Online Wallet,Returned
ORD-10118,2025-06-23,C1019,client58@example.com,P1005,24-inch Monitor,Electronics,East,Marketplace,Elena Stan,2,720.0,510.0,0.1,Card,Completed
ORD-10126,2025-06-20,C1027,client18@example.com,P1001,Laptop Stand,Accessories,West,Online,Ioana Pavel,4,95.0,52.0,0,Bank Transfer,Returned
ORD-10127,2025-06-18,C1036,client38@example.com,P1004,USB-C Hub,Accessories,North,Marketplace,Elena Stan,3,175.0,98.0,0.15,Bank Transfer,Completed
ORD-10135,2025-06-10,C1123,client40@example.com,P1007,Office Chair,Furniture,East,Online,Andrei Pop,11,840.0,590.0,0.05,Card,Completed
ORD-10165,2025-06-01,C1107,client135@example.com,P1002,Wireless Mouse,Accessories,Bucharest,Marketplace,Elena Stan,2,85.0,44.0,0.15,Bank Transfer,Returned
ORD-10182,2025-06-08,C1061,client65@example.com,P1006,27-inch Monitor,Electronics,Bucharest,Marketplace,Maria Ionescu,9,1090.0,790.0,0.1,Cash,Returned
ORD-10197,2025-06-12,C1060,client175@example.com,P1003,Mechanical Keyboard,Accessories,West,Store,Maria Ionescu,11,265.0,155.0,0,Bank Transfer,Completed
ORD-10199,2025-06-27,C1033,client51@example.com,P1004,USB-C Hub,Accessories,West,Store,Maria Ionescu,9,175.0,98.0,0.05,Cash,Completed
ORD-10213,2025-06-20,C1020,client156@example.com,P1003,Mechanical Keyboard,Accessories,West,Online,Elena Stan,8,265.0,155.0,0.15,Cash,Completed
ORD-10215,2025-06-03,C1043,client173@example.com,P1010,Headset,Electronics,Bucharest,Store,Ioana Pavel,8,195.0,105.0,0,Cash,Completed
ORD-10222,2025-06-12,C1120,client71@example.com,P1008,Standing Desk,Furniture,South,Online,Ioana Pavel,8,1450.0,1030.0,0.05,Online Wallet,Returned
ORD-10223,2025-06-26,C1037,client21@example.com,P1007,Office Chair,Furniture,South,Store,Elena Stan,3,840.0,590.0,0.05,Online Wallet,Completed
ORD-10229,2025-06-02,C1119,client86@example.com,P1001,Laptop Stand,Accessories,South,Store,Ioana Pavel,10,95.0,52.0,0.15,Online Wallet,Completed
ORD-10239,2025-06-17,C1088,client53@example.com,P1003,Mechanical Keyboard,Accessories,West,Store,Andrei Pop,9,265.0,155.0,0.1,Online Wallet,Completed
ORD-10256,2025-06-05,C1124,client31@example.com,P1006,27-inch Monitor,Electronics,East,Online,Ioana Pavel,1,1090.0,790.0,0,Bank Transfer,Completed
ORD-10273,2025-06-19,C1102,client177@example.com,P1009,Webcam,Electronics,Bucharest,Marketplace,Elena Stan,7,230.0,132.0,0.2,Card,Completed
ORD-10277,2025-06-12,C1001,client79@example.com,P1007,Office Chair,Furniture,East,Store,Elena Stan,6,840.0,590.0,0,Card,Completed
ORD-10284,2025-06-21,C1018,client77@example.com,P1008,Standing Desk,Furniture,South,Marketplace,Maria Ionescu,7,1450.0,1030.0,0.2,Online Wallet,Returned
ORD-10300,2025-06-16,C1034,client172@example.com,P1006,27-inch Monitor,Electronics,East,Marketplace,Elena Stan,4,1090.0,790.0,0.1,Online Wallet,Completed
